epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8389,1.40048,2.20042,1.77859,0.00333,1,0.82614,0.39453,1.65646,3.02832,2.63618,0.00032,0.00032,0.00032
2,67.0401,1.43303,1.73655,1.69169,0.79131,0.68961,0.85985,0.42755,1.63585,3.12765,2.65006,0.00063822,0.00063822,0.00063822
3,97.1819,1.41791,1.59777,1.61024,0.91355,0.54545,0.86551,0.41586,2.68228,3.14387,3.27169,0.000934,0.000934,0.000934
4,124.195,1.43742,1.55362,1.65715,0.6207,0.78788,0.71554,0.33141,1.93901,3.02621,3.03865,0.00120734,0.00120734,0.00120734
5,155.604,1.58283,1.49229,1.6922,0.90162,0.55579,0.73371,0.38687,1.61384,2.69953,2.35688,0.00145824,0.00145824,0.00145824
6,185.975,1.54385,1.5254,1.73524,0.86171,0.84848,0.89277,0.51509,1.56774,2.46588,2.27758,0.00167,0.00167,0.00167
7,218.441,1.41957,1.36648,1.5789,0.64123,0.51515,0.57442,0.28087,2.10326,2.88,2.86961,0.001604,0.001604,0.001604
8,248.969,1.4332,1.44274,1.61605,0.82112,0.72727,0.83763,0.4671,2.37302,4.37929,3.15111,0.001538,0.001538,0.001538
9,278.751,1.4484,1.31365,1.60053,0.53443,0.51515,0.47327,0.24051,2.3156,3.44959,3.01577,0.001472,0.001472,0.001472
10,308.446,1.36851,1.30661,1.60856,0.95869,0.57576,0.77892,0.40336,2.264,2.73149,2.97911,0.001406,0.001406,0.001406
11,338.376,1.45409,1.29346,1.61193,0.59727,0.81818,0.66692,0.30423,2.1834,3.35115,3.27561,0.00134,0.00134,0.00134
12,368.768,1.39473,1.24716,1.59531,0.59467,0.71151,0.61663,0.32876,2.23942,2.48712,3.17939,0.001274,0.001274,0.001274
13,400.021,1.39025,1.2113,1.60344,0.913,0.87879,0.94468,0.43822,2.25985,2.3962,3.10088,0.001208,0.001208,0.001208
14,430.351,1.42089,1.1691,1.59246,0.92921,0.90909,0.9468,0.44595,1.84133,2.06119,2.36615,0.001142,0.001142,0.001142
15,461.704,1.3785,1.11818,1.57593,0.96844,0.92998,0.96993,0.44025,2.06949,1.97121,2.76108,0.001076,0.001076,0.001076
16,491.847,1.38167,1.07582,1.55331,1,0.96145,0.98097,0.55936,1.68496,2.02825,2.20124,0.00101,0.00101,0.00101
17,521.343,1.27772,1.015,1.50198,1,0.96302,0.99176,0.59005,1.74518,2.04765,2.17606,0.000944,0.000944,0.000944
18,551.383,1.24145,1.00418,1.48583,0.99661,0.93939,0.95907,0.5275,2.2167,2.33764,2.68844,0.000878,0.000878,0.000878
19,580.345,1.33223,1.02274,1.5304,0.96122,0.90909,0.9713,0.58068,1.88111,1.6982,2.3341,0.000812,0.000812,0.000812
20,607.971,1.314,1.0603,1.51922,0.99291,0.9697,0.99329,0.62,1.59559,1.42035,2.18304,0.000746,0.000746,0.000746
21,638.337,1.24401,1.37865,1.669,0.99396,0.93939,0.98999,0.53877,1.8016,1.47749,2.38343,0.00068,0.00068,0.00068
22,667.842,1.19279,1.27105,1.67613,0.93931,0.93939,0.97264,0.54434,1.63116,1.66593,2.17101,0.000614,0.000614,0.000614
23,698.854,1.08939,1.16568,1.53465,0.93965,0.9697,0.98227,0.55898,1.61432,1.48355,1.99133,0.000548,0.000548,0.000548
24,724.618,1.01854,1.09903,1.5279,0.99614,0.9697,0.9925,0.60937,1.41914,1.39409,1.86065,0.000482,0.000482,0.000482
25,749.346,1.06373,1.10675,1.53382,0.99782,0.9697,0.99176,0.65336,1.48849,1.35629,1.93883,0.000416,0.000416,0.000416
26,776.085,1.03635,1.05775,1.46236,0.99764,0.9697,0.99412,0.62318,1.68011,1.53961,2.22174,0.00035,0.00035,0.00035
27,800.922,0.98359,1.0249,1.42274,1,0.99692,0.995,0.53612,1.95291,1.6085,2.63599,0.000284,0.000284,0.000284
28,825.647,1.07534,1.0441,1.54045,1,0.99696,0.995,0.5323,1.96926,1.42628,2.61947,0.000218,0.000218,0.000218
29,850.73,0.97581,0.97526,1.45871,0.99695,0.9697,0.99412,0.56423,1.9269,1.4018,2.54546,0.000152,0.000152,0.000152
30,877.696,0.94496,0.98629,1.42889,0.99694,0.9697,0.99412,0.56673,1.91228,1.40441,2.49523,8.6e-05,8.6e-05,8.6e-05
